,CustomerID,SeniorCitizen,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaymentMethod,MonthlyCharges,Churn
0,7590-VHVEG,0,DSL,No,Yes,No,No,No,No,Electronic check,29.85,0
1,5575-GNVDE,0,DSL,Yes,No,Yes,No,No,No,Mailed check,56.95,0
2,3668-QPYBK,0,DSL,Yes,Yes,No,No,No,No,Mailed check,53.85,1
3,7795-CFOCW,0,DSL,Yes,No,Yes,Yes,No,No,Bank transfer (automatic),42.3,0
4,9237-HQITU,0,Fiber optic,No,No,No,No,No,No,Electronic check,70.7,1
5,9305-CDSKC,0,Fiber optic,No,No,Yes,No,Yes,Yes,Electronic check,99.65,1
6,1452-KIOVK,0,Fiber optic,No,Yes,No,No,Yes,No,Credit card (automatic),89.1,0
7,6713-OKOMC,0,DSL,Yes,No,No,No,No,No,Mailed check,29.75,0
8,7892-POOKP,0,Fiber optic,No,No,Yes,Yes,Yes,Yes,Electronic check,104.8,1
9,6388-TABGU,0,DSL,Yes,Yes,No,No,No,No,Bank transfer (automatic),56.15,0
10,9763-GRSKD,0,DSL,Yes,No,No,No,No,No,Mailed check,49.95,0
11,7469-LKBCI,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Credit card (automatic),18.95,0
12,8091-TTVAX,0,Fiber optic,No,No,Yes,No,Yes,Yes,Credit card (automatic),100.35,0
13,0280-XJGEX,0,Fiber optic,No,Yes,Yes,No,Yes,Yes,Bank transfer (automatic),103.7,1
14,5129-JLPIS,0,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Electronic check,105.5,0
15,3655-SNQYZ,0,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Credit card (automatic),113.25,0
16,8191-XWSZG,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Mailed check,20.65,0
17,9959-WOFKT,0,Fiber optic,Yes,No,Yes,No,Yes,Yes,Bank transfer (automatic),106.7,0
18,4190-MFLUW,0,DSL,No,No,Yes,Yes,No,No,Credit card (automatic),55.2,1
19,4183-MYFRB,0,Fiber optic,No,Yes,Yes,No,No,Yes,Electronic check,90.05,0
